Player,age,player_market_value_euro,season_start_year
Sebastian Eriksson,31,650000.0,2019
Simone Colombi,28,650000.0,2019
Giacomo Raspadori,20,625000.0,2019
Manolo Portanova,20,625000.0,2019
Biagio Meccariello,29,550000.0,2019
Danilo,36,550000.0,2019
Luca Siligardi,32,550000.0,2019
Bobby Adekanye,21,525000.0,2019
Andrea Papetti,17,500000.0,2019
Filip Stankovic,18,500000.0,2019
Gianmarco Cangiano,18,500000.0,2019
Boris Radunović,24,475000.0,2019
Enrico Alfonso,32,475000.0,2019
Nenad Tomović,32,475000.0,2019
Thiago Cionek,34,475000.0,2019
Valon Behrami,35,475000.0,2019
Alessandro Buongiorno,21,450000.0,2019
Alessandro Tripaldelli,21,450000.0,2019
Andrea Adorante,20,450000.0,2019
Andrea Danzi,21,450000.0,2019
Brayan Vera,21,450000.0,2019
Giacomo Vrioni,21,450000.0,2019
Alan Empereur,26,400000.0,2019
Alberto Almici,27,400000.0,2019
Antonio Donnarumma,29,400000.0,2019
Bartosz Salamon,29,400000.0,2019
Carlo Pinsoglio,30,400000.0,2019
Daniel Fuzato,22,400000.0,2019
Daniele Dessena,33,400000.0,2019
Édgar Barreto,35,400000.0,2019
Edoardo Vergani,19,400000.0,2019
Federico Peluso,36,400000.0,2019
Luca Rigoni,35,400000.0,2019
Luca Rossettini,35,400000.0,2019
Matías Fonseca,19,400000.0,2019
Mirko Valdifiori,34,400000.0,2019
Nícolas,32,400000.0,2019
Pietro Terracciano,30,400000.0,2019
Riccardo Fiamozzi,27,400000.0,2019
Rodrigo Palacio,38,400000.0,2019
Thom Haye,25,400000.0,2019
Tiago Casasola,24,400000.0,2019
Georgi Tunjov,19,350000.0,2019
Leandrinho,21,350000.0,2019
Lubomir Tupta,22,350000.0,2019
Mattia Viviani,19,350000.0,2019
Riccardo Ladinetti,19,350000.0,2019
Stefano Piccinini,17,350000.0,2019
Aly Malle,22,325000.0,2019
Daniele Ragatzu,28,325000.0,2019
Felipe,35,325000.0,2019
Francisco Sierralta,23,325000.0,2019
Giampaolo Pazzini,35,325000.0,2019
Goran Pandev,36,325000.0,2019
Luigi Vitale,32,325000.0,2019
Nehuén Paz,27,325000.0,2019
Silvio Proto,37,325000.0,2019
Alessandro Minelli,20,300000.0,2019
Andrea Carboni,19,300000.0,2019
Andrea Seculin,29,300000.0,2019
Daniel Maldini,18,300000.0,2019
Daniele Gastaldello,37,300000.0,2019
David Heidenreich,20,300000.0,2019
Djavan Anderson,25,300000.0,2019
Fabrizio Alastra,22,300000.0,2019
Federico Brancolini,18,300000.0,2019
Felipe Curcio,26,300000.0,2019
Felipe Estrella,19,300000.0,2019
Guido Guerrieri,24,300000.0,2019
Jean Freddi Greco,19,300000.0,2019
Nicola Rauti,20,300000.0,2019
Ricardo Kishna,25,300000.0,2019
Salvador Ichazo,28,300000.0,2019
Sergio Floccari,38,300000.0,2019
Stefano Turati,18,300000.0,2019
Michele Cerofolini,21,275000.0,2019
Drissa Camara,18,250000.0,2019
Federico Bonini,18,250000.0,2019
Federico Marigosu,19,250000.0,2019
Felice D'Amico,19,250000.0,2019
Filippo Terracciano,17,250000.0,2019
Luca Zanimacchia,21,250000.0,2019
Simone Lo Faso,22,250000.0,2019
Alessandro Russo,19,200000.0,2019
Alessandro Semprini,22,200000.0,2019
Andrea Ghion,20,200000.0,2019
Angelo da Costa,36,200000.0,2019
Antonino Gallo,20,200000.0,2019
Antonio Rosati,37,200000.0,2019
Bogdan Jocic,19,200000.0,2019
Cyril Théréau,37,200000.0,2019
Federico Marchetti,37,200000.0,2019
Giuseppe Ciocci,18,200000.0,2019
Isaías Delpupo,17,200000.0,2019
Jacopo Da Riva,19,200000.0,2019
Khadim Ndiaye,20,200000.0,2019
Luca Gagliano,19,200000.0,2019
Marco Olivieri,21,200000.0,2019
Massimiliano Mangraviti,22,200000.0,2019
Michel Adopo,19,200000.0,2019
Mohamed Bahlouli,20,200000.0,2019
Nicky Beloko,20,200000.0,2019
Nicolò Armini,19,200000.0,2019
Rafael,38,200000.0,2019
Samir Ujkani,31,200000.0,2019
Simone Pinna,22,200000.0,2019
Wesley Gasolina,20,200000.0,2019
Alessandro Mercati,18,175000.0,2019
Simone Aresti,34,175000.0,2019
Amine Ghazoini,19,150000.0,2019
Andrea Ghezzi,19,150000.0,2019
Davide Riccardi,24,150000.0,2019
Emanuele Rovini,25,150000.0,2019
Gianluca Pegolo,39,150000.0,2019
Hubert Idasiak,18,150000.0,2019
Leonardo Mazza,19,150000.0,2019
Marco Bleve,24,150000.0,2019
Matteo Lovato,20,150000.0,2019
Pietro Beruatto,21,150000.0,2019
Rodrigo Guth,19,150000.0,2019
Salvatore Boccia,19,150000.0,2019
Samuele Perisan,22,150000.0,2019
Vasco Oliveira,20,150000.0,2019
Wilfried Singo,19,150000.0,2019
Wladimiro Falcone,25,150000.0,2019
Alessandro Lombardi,20,125000.0,2019
Amidu Salifu,27,125000.0,2019
Giacomo Ricci,23,125000.0,2019
Simone Muratore,22,125000.0,2019
Altin Kryeziu,18,100000.0,2019
Andrei Mărginean,18,100000.0,2019
Aristidi Kolaj,21,100000.0,2019
Daouda Peeters,21,100000.0,2019
Demba Thiam,22,100000.0,2019
Denis Portanova,19,100000.0,2019
Dion Ruffo Luci,18,100000.0,2019
Ebrima Darboe,19,100000.0,2019
Eklu Shaka Mawuli,22,100000.0,2019
Fabio Porru,20,100000.0,2019
Francesco Rossi,29,100000.0,2019
Gabriele Artistico,17,100000.0,2019
Giacomo Manzari,19,100000.0,2019
Giuseppe Aurelio,20,100000.0,2019
Jacopo Pellegrini,19,100000.0,2019
Jaume Cuéllar,18,100000.0,2019
Leonardo Fontanesi,24,100000.0,2019
Leonardo Stanzani,20,100000.0,2019
Lorenzo Andrenacci,25,100000.0,2019
Luca Coccolo,22,100000.0,2019
Luca Falbo,20,100000.0,2019
Marco Alia,20,100000.0,2019
Marco Brescianini,20,100000.0,2019
Márk Kosznovszky,18,100000.0,2019
Matteo Raspa,18,100000.0,2019
Mouhamadou Sarr,23,100000.0,2019
Riccardo Mastrilli,23,100000.0,2019
Roberto Pierno,19,100000.0,2019
Salvatore Rimoli,19,100000.0,2019
Sergio Maselli,19,100000.0,2019
Steeve-Mike Eyango,19,100000.0,2019
Tommaso Berni,37,100000.0,2019
Augustinas Klimavicius,19,75000.0,2019
Christian Celesia,18,75000.0,2019
Danilo Ventola,19,75000.0,2019
Edgaras Dubickas,21,75000.0,2019
Enrico Oviszach,19,75000.0,2019
Filippo Gilli,19,75000.0,2019
Gabriele Boloca,19,75000.0,2019
Giacomo Olzer,19,75000.0,2019
Gianluca Frabotta,21,75000.0,2019
Ilario Monterisi,18,75000.0,2019
Jan Kubala,20,75000.0,2019
