"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","12","Edmond Tapsoba","Centre-Back",1999-02-02,21,"Burkina Faso","Bayer 04 Leverkusen","1.94","right","2020-01-31","Vitória Guimarães SC",NA,1.8e+07
"2019","https://www.transfermarkt.com/angelino/profil/spieler/277179","Bundesliga","Europe","Germany",2019,"RB Leipzig","3","Angeliño","Left-Back",1997-01-04,23,"Spain","AS Roma","1.71","left","2021-07-01","Manchester City",NA,17500000
"2019","https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","32","Florian Neuhaus","Central Midfield",1997-03-16,23,"Germany","Borussia Mönchengladbach","1.85","right","2017-07-01","TSV 1860 Munich",NA,17500000
"2019","https://www.transfermarkt.com/ivan-perisic/profil/spieler/42460","Bundesliga","Europe","Germany",2019,"Bayern Munich","14","Ivan Perisic","Left Winger",1989-02-02,31,"Croatia","PSV Eindhoven","1.86","both","2019-08-13","Inter Milan",NA,17500000
"2019","https://www.transfermarkt.com/jean-philippe-mateta/profil/spieler/420002","Bundesliga","Europe","Germany",2019,"1.FSV Mainz 05","9","Jean-Philippe Mateta","Centre-Forward",1997-06-28,23,"France","Crystal Palace","1.92","right","2018-07-01","Olympique Lyon",NA,17500000
"2019","https://www.transfermarkt.com/kevin-kampl/profil/spieler/53418","Bundesliga","Europe","Germany",2019,"RB Leipzig","44","Kevin Kampl","Central Midfield",1990-10-09,29,"Slovenia","RB Leipzig","1.78","right","2017-08-31","Bayer 04 Leverkusen",NA,17500000
"2019","https://www.transfermarkt.com/marcel-halstenberg/profil/spieler/70243","Bundesliga","Europe","Germany",2019,"RB Leipzig","23","Marcel Halstenberg","Centre-Back",1991-09-27,28,"Germany","Hannover 96","1.88","left","2015-08-31","FC St. Pauli",NA,17500000
"2019","https://www.transfermarkt.com/thomas-delaney/profil/spieler/91849","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","6","Thomas Delaney","Central Midfield",1991-09-03,28,"Denmark","FC Copenhagen","1.82","left","2018-07-01","SV Werder Bremen",NA,17500000
"2019","https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259","Bundesliga","Europe","Germany",2019,"Hertha BSC","28","Dodi Lukébakio","Right Winger",1997-09-24,22,"Belgium","Sevilla FC","1.87","left","2019-08-01","Watford FC",NA,1.7e+07
"2019","https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730","Bundesliga","Europe","Germany",2019,"Bayern Munich","2","Álvaro Odriozola","Right-Back",1995-12-14,24,"Spain","Real Sociedad","1.76","right","2020-01-22","Real Madrid",NA,1.6e+07
